gid,geometry
다사467448,"POLYGON ((126.89697931544882 37.50182905424508, 126.8981106291331 37.501834824043584, 126.89811786430457 37.500933507449204, 126.89698656421754 37.50092773783744, 126.89697931544882 37.50182905424508))"
다사469449,"POLYGON ((126.89923472124377 37.50274189965022, 126.90036604916986 37.50274764796755, 126.90037325746783 37.50184633113977, 126.89924194313964 37.50184058300849, 126.89923472124377 37.50274189965022))"
다사467450,"POLYGON ((126.89696481694274 37.503631686643146, 126.89809615782335 37.50363745681517, 126.89810339363936 37.50273614049892, 126.89697206635724 37.502730370513646, 126.89696481694274 37.503631686643146))"
다사463459,"POLYGON ((126.8923737077404 37.511720329763754, 126.8935051697386 37.51172614496658, 126.8935124628714 37.51082483065123, 126.89238101447704 37.5108190156366, 126.8923737077404 37.511720329763754))"
다사464460,"POLYGON ((126.89349787628093 37.512627459142834, 126.89462935220847 37.512633263696095, 126.89463663206166 37.511731949331974, 126.8935051697386 37.51172614496658, 126.89349787628093 37.512627459142834))"
다사463460,"POLYGON ((126.89236640067827 37.51262164375179, 126.89349787628093 37.512627459142834, 126.8935051697386 37.51172614496658, 126.8923737077404 37.511720329763754, 126.89236640067827 37.51262164375179))"
다사463458,"POLYGON ((126.89238101447704 37.5108190156366, 126.8935124628714 37.51082483065123, 126.89351975567938 37.50992351619679, 126.89238832088827 37.509917701370355, 126.89238101447704 37.5108190156366))"
다사462460,"POLYGON ((126.89123492540108 37.51261581752299, 126.89236640067827 37.51262164375179, 126.8923737077404 37.511720329763754, 126.89124224606765 37.51171450372349, 126.89123492540108 37.51261581752299))"
다사456471,"POLYGON ((126.88436463362005 37.522495062643394, 126.88549625661949 37.52250095599619, 126.88550364892916 37.52159964467517, 126.88437203954071 37.52159375151308, 126.88436463362005 37.522495062643394))"
다사455471,"POLYGON ((126.88323301095048 37.52248915844901, 126.88436463362005 37.522495062643394, 126.88437203954071 37.52159375151308, 126.88324043048218 37.52158784750978, 126.88323301095048 37.52248915844901))"
다사457472,"POLYGON ((126.88548886398054 37.52340226717807, 126.88662050092091 37.52340814987968, 126.88662787994822 37.52250683850742, 126.88549625661949 37.52250095599619, 126.88548886398054 37.52340226717807))"
다사455472,"POLYGON ((126.8832255910883 37.52339046924912, 126.88435722736948 37.523396373634554, 126.88436463362005 37.522495062643394, 126.88323301095048 37.52248915844901, 126.8832255910883 37.52339046924912))"
다사456472,"POLYGON ((126.88435722736948 37.523396373634554, 126.88548886398054 37.52340226717807, 126.88549625661949 37.52250095599619, 126.88436463362005 37.522495062643394, 126.88435722736948 37.523396373634554))"
다사475464,"POLYGON ((126.90591555080589 37.51629597665168, 126.90704708469165 37.51630166272476, 126.90705421616515 37.51540034687354, 126.90592269588643 37.515394660984484, 126.90591555080589 37.51629597665168))"
다사476465,"POLYGON ((126.90703995290053 37.51720297843691, 126.90817150071166 37.517208653854354, 126.90817861889509 37.516307337958516, 126.90704708469165 37.51630166272476, 126.90703995290053 37.51720297843691))"
다사474463,"POLYGON ((126.90479117592598 37.51538896425649, 126.90592269588643 37.515394660984484, 126.90592984064872 37.514493345178245, 126.9047983342947 37.51448764863461, 126.90479117592598 37.51538896425649))"
다사474464,"POLYGON ((126.90478401723838 37.51629027973932, 126.90591555080589 37.51629597665168, 126.90592269588643 37.515394660984484, 126.90479117592598 37.51538896425649, 126.90478401723838 37.51629027973932))"
다사475465,"POLYGON ((126.90590840540709 37.517197292179816, 126.90703995290053 37.51720297843691, 126.90704708469165 37.51630166272476, 126.90591555080589 37.51629597665168, 126.90590840540709 37.517197292179816))"
다사476463,"POLYGON ((126.90705421616515 37.51540034687354, 126.9081857367615 37.51540602192365, 126.90819285431085 37.514504705749744, 126.90706134732098 37.514499030883286, 126.90705421616515 37.51540034687354))"
다사476464,"POLYGON ((126.90704708469165 37.51630166272476, 126.90817861889509 37.516307337958516, 126.9081857367615 37.51540602192365, 126.90705421616515 37.51540034687354, 126.90704708469165 37.51630166272476))"
다사468465,"POLYGON ((126.89798758189883 37.51715718487082, 126.89911912715158 37.51716294700518, 126.89912635419608 37.51626163258852, 126.8979948225509 37.516255870640634, 126.89798758189883 37.51715718487082))"
다사467466,"POLYGON ((126.89684878238586 37.51805272580116, 126.89798034092424 37.51805849896193, 126.89798758189883 37.51715718487082, 126.89685603696863 37.51715141189687, 126.89684878238586 37.51805272580116))"
다사497470,"POLYGON ((126.93076828800498 37.5218264812559, 126.93189991039634 37.521831929920154, 126.93190674433686 37.52093061094308, 126.93077513555652 37.520925162455164, 126.93076828800498 37.5218264812559))"
다사496468,"POLYGON ((126.92965038793811 37.520018384362956, 126.93078198280305 37.52002384351545, 126.93078882974461 37.51912252443678, 126.92965724848945 37.519117065460954, 126.92965038793811 37.520018384362956))"
다사497469,"POLYGON ((126.93077513555652 37.520925162455164, 126.93190674433686 37.52093061094308, 126.93191357797299 37.520029291827065, 126.93078198280305 37.52002384351545, 126.93077513555652 37.520925162455164))"
